PLZ;Stadtteil
10115;Mitte
10117;Mitte
10119;Mitte
10119;Pankow
10178;Mitte
10179;Mitte
10243;Friedrichshain-Kreuzberg
10245;Friedrichshain-Kreuzberg
10247;Pankow
10247;Friedrichshain-Kreuzberg
10249;Pankow
10249;Friedrichshain-Kreuzberg
10315;Lichtenberg
10315;Lichtenberg
10317;Lichtenberg
10317;Lichtenberg
10317;Lichtenberg
10318;Lichtenberg
10319;Lichtenberg
10365;Lichtenberg
10367;Lichtenberg
10367;Lichtenberg
10369;Lichtenberg
10369;Lichtenberg
10405;Pankow
10407;Pankow
10409;Pankow
10435;Mitte
10435;Pankow
10437;Pankow
10439;Pankow
10439;Pankow
10551;Mitte
10553;Mitte
10555;Mitte
10555;Mitte
10557;Mitte
10557;Mitte
10557;Mitte
10559;Mitte
10585;Charlottenburg-Wilmersdorf
10587;Charlottenburg-Wilmersdorf
10589;Charlottenburg-Wilmersdorf
10589;Charlottenburg-Wilmersdorf
10623;Charlottenburg-Wilmersdorf
10625;Charlottenburg-Wilmersdorf
10627;Charlottenburg-Wilmersdorf
10629;Charlottenburg-Wilmersdorf
10707;Charlottenburg-Wilmersdorf
10707;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10709;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10711;Charlottenburg-Wilmersdorf
10713;Charlottenburg-Wilmersdorf
10713;Charlottenburg-Wilmersdorf
10715;Charlottenburg-Wilmersdorf
10717;Charlottenburg-Wilmersdorf
10719;Charlottenburg-Wilmersdorf
10719;Charlottenburg-Wilmersdorf
10777;Charlottenburg-Wilmersdorf
10777;Tempelhof-Schoeneberg
10779;Charlottenburg-Wilmersdorf
10779;Tempelhof-Schoeneberg
10781;Tempelhof-Schoeneberg
10783;Tempelhof-Schoeneberg
10785;Mitte
10785;Tempelhof-Schoeneberg
10785;Friedrichshain-Kreuzberg
10787;Mitte
10787;Charlottenburg-Wilmersdorf
10787;Tempelhof-Schoeneberg
10789;Charlottenburg-Wilmersdorf
10789;Charlottenburg-Wilmersdorf
10789;Tempelhof-Schoeneberg
10823;Tempelhof-Schoeneberg
10825;Charlottenburg-Wilmersdorf
10825;Tempelhof-Schoeneberg
10827;Tempelhof-Schoeneberg
10827;Tempelhof-Schoeneberg
10829;Tempelhof-Schoeneberg
10961;Friedrichshain-Kreuzberg
10963;Mitte
10963;Friedrichshain-Kreuzberg
10965;Tempelhof-Schoeneberg
10965;Friedrichshain-Kreuzberg
10965;Neukoelln
10965;Tempelhof-Schoeneberg
10967;Friedrichshain-Kreuzberg
10967;Neukoelln
10969;Friedrichshain-Kreuzberg
10997;Friedrichshain-Kreuzberg
10999;Friedrichshain-Kreuzberg
12043;Neukoelln
12045;Neukoelln
12047;Neukoelln
12049;Neukoelln
12051;Neukoelln
12053;Neukoelln
12055;Neukoelln
12057;Neukoelln
12059;Neukoelln
12099;Neukoelln
12099;Tempelhof-Schoeneberg
12099;Tempelhof-Schoeneberg
