Institutionsname;Besuche_insgesamt;Besuche_insgesamt;zahlende_Besucherinnen_und _Besucher;zahlende_Besucherinnen_und _Besucher;nicht_zahlende_Besucherinnen_und_Besucher;nicht_zahlende_Besucherinnen_und_Besucher;Besucherinnen;Besucherinnen;Besucher;Besucher;Kinder_und_Jugendliche;Kinder_und_Jugendliche;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Besuche_ausserhalb_Berlins_bei_Gastspielen_oder_ Wanderausstellungen;Bemerkungen_Angaben_werden_nicht_erhoben;Institutionskategorie
;2011;2012;2011;2012;2011;2012;2011;2012;2011;2012;2011;2012;2011;2012;;Grosse Sprechbuehnen
Deutsches Theater / Kammerspiele;165,405;162,136;155,871;154,214;9,534;7,922;99,409;92,515;65,996;69,621;-;-;26,809;21,546;-;Grosse Sprechbuehnen
Volksbuehne;135,284;143,292;126,158;136,153;9,126;7,139;74,406;78,810;60,878;64,482;-;-;23,563;36,382;-;Grosse Sprechbuehnen
Maxim Gorki Theater;92,056;79,984;86,214;74,985;5,842;4,999;53,642;46,391;38,414;33,593;-;-;-;-;-;Grosse Sprechbuehnen
Berliner Ensemble;188,406;181,639;179,204;173,688;9,202;7,951;94,203;90,819;94,203;90,820;-;-;25,895;31,746;-;Grosse Sprechbuehnen
Hebbel am Ufer (HAU 1, 2, 3);89,692;61,963;73,433;50,048;16,259;11,915;45,692;31,500;44,000;30,463;-;-;-;-;-;Grosse Sprechbuehnen
Schaubuehne am Lehniner Platz;106,382;99,695;100,825;95,260;5,557;4,435;53,191;49,848;53,191;49,847;-;-;63,039;65,976;-;Grosse Sprechbuehnen
Renaissance Theater ? Neue Theater Betriebs-GmbH;85,421;87,154;78,336;80,012;7,085;7,142;51,253;52,292;34,168;34,862;-;-;-;-;-;Grosse Sprechbuehnen
Theater an der Parkaue;92,602;90,655;86,232;85,845;6,370;4,810;46,802;48,000;45,800;42,655;-;-;6,663;7,751;-;Kinder- und Jugendtheater
Grips Theater;76,301;88,993;71,844;84,913;4,457;4,080;38,151;44,496;38,150;44,497;-;-;9,658;4,891;-;Kinder- und Jugendtheater
